               Name                      E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
          L20G0124T64-0ES             2012.536         0.324        1342.055       2919.172        1399.13       1342.055         0.166          0.566       0.00358528   
          L20G0124T64-1ES             6297.208         0.052         911.327       6333.337        347.398        911.327         0.27           3.284        0.0058329   
          L20G0124T64-2ES             4688.193         0.272        2682.301       5884.166        2198.48       2682.301         0.273          0.687       0.00589983   
          L20G0124T64-4ES             6298.536         0.052         910.392       6334.673        347.472        910.392         0.27           3.288       0.00583284   
          L20G0124T64-5ES             2017.736         0.323        1343.512       2916.688       1391.566       1343.512         0.166          0.568       0.00358528   
          L20G0124T64-7ES             4693.102         0.271        2677.809       5877.282       2184.833       2677.809         0.273          0.689       0.00589983   
          L20G0125T64-0ES             8871.519         0.113        1884.021       9134.515       1163.698       1884.021         0.304          2.115       0.00657077   
          L20G0125T64-2ES             9505.625         0.254        4095.623       11493.621      3913.378       4095.623         0.338          0.925       0.00729763   
          L20G0125T64-3ES             8711.429         0.209        2330.707       9793.019       2587.536       2330.707         0.302          1.546       0.00653206   
          L20G0125T64-4ES             8886.569         0.113        1884.757       9150.011       1165.672       1884.757         0.304          2.118       0.00657077   
          L20G0125T64-5ES             9509.612         0.254        4097.047       11498.442      3915.019       4097.047         0.338          0.925       0.00729774   
          L20G0128T64-0ES             5201.786         0.282        2348.408       6681.938       2624.382       2348.408         0.26           0.864       0.00561679   
          L20G0128T64-1ES             7086.569         0.277        3079.195       8995.982       3446.593       3079.195         0.305          0.901       0.00657901   
          L20G0128T64-2ES             5200.154         0.282        2348.844       6679.841       2623.559       2348.844         0.26           0.863       0.00561679   
          L20G0128T64-3ES             7091.573         0.276        3080.648       8981.574       3423.915       3080.648         0.305          0.902       0.00657924   
          L20G012T34-4ES              2132.239         0.381        2204.525        4015.65       2471.668       2204.525         0.188          0.35        0.00406941   
   L20G012T34-4_G0124T64-4_C9ES       12411.519        0.25         4578.838       14893.823      4964.608       4578.838         0.38           1.084        0.0081997   
   L20G012T34-4_G0125T64-0_C9ES       14561.984        0.233        5078.678       16963.348      5153.142       5078.678         0.411          1.163       0.00888035   
   L20G012T34-4_G0128T64-1_C9ES       9581.935         0.298        5245.413       12827.271      5445.195       5245.413         0.408          0.704       0.00881734   
   L20G012T34-4_G0128T64-3_C9ES       10038.77         0.303        5501.088       13629.272       5924.92       5501.088         0.424           0.7        0.00914813   
    L20G012T34-4_G012T34-7_C6ES       4875.682         0.358        4435.389       8116.192       4525.851       4435.389         0.331          0.405       0.00714438   
   L20G012T34-4_G012T64-10_C9ES       8450.303         0.322        5640.894       12173.642      5781.582       5640.894         0.42           0.567       0.00906203   
    L20G012T34-4_G012T64-5_C9ES        6399.37         0.343        4985.434       9970.041       5205.059       4985.434         0.405          0.478       0.00873791   
   L20G012T34-4_G0138T64-2_C9ES       9696.177         0.272        4392.015       12169.702      4546.922       4392.015         0.416          0.868       0.00898293   
    L20G012T34-4_G013T34-0_C6ES       7288.613         0.319        4746.761       10395.339      4869.476       4746.761         0.357          0.582       0.00771557   
    L20G012T34-4_G014T64-4_C9ES       12867.905        0.285        6314.489       16651.076      6637.142       6314.489         0.449          0.793       0.00970167   
   L20G012T34-4_G0158T64-3_C9ES       11589.736        0.281        5172.788       14851.803      5804.391       5172.788         0.443          0.875       0.00956303   
   L20G012T34-4_G0158T64-5_C9ES       7302.262         0.277        3594.351       9269.791       3551.497       3594.351         0.389          0.795       0.00840853   
   L20G012T34-4_G015T34-11_C6ES       5559.755         0.336        4156.475       8424.486       4262.993       4156.475         0.344          0.501       0.00742182   
    L20G012T34-4_G015T34-2_C6ES       9379.302         0.302        5294.462       12697.545       5493.78       5294.462         0.371          0.68        0.00800828   
   L20G012T34-4_G0178T64-2_C9ES        12182.5         0.286        5532.656       15803.377      6330.204       5532.656         0.456          0.856       0.00985288   
   L20G012T34-4_G0178T64-3_C9ES       6145.685         0.288        3243.156        8012.51       3241.015       3243.156         0.376          0.736       0.00812027   
    L20G012T34-4_G017T34-0_C6ES       10361.128        0.296        5525.516       13794.772      5800.075       5525.516         0.377          0.723       0.00815359   
    L20G012T34-4_G017T34-4_C6ES       4899.972         0.344        3871.422       7665.554       4019.742       3871.422         0.337          0.471       0.00727477   
    L20G012T34-4_G018T64-1_C9ES       6645.551         0.343        5061.524       10353.584      5405.296       5061.524         0.38           0.489       0.00821523   
    L20G012T34-4_G018T64-3_C9ES       5323.958         0.305        4088.406       7270.166       3190.504       4088.406         0.398          0.499       0.00859839   
    L20G012T34-4_G018T64-9_C9ES       9363.477         0.294        4997.348       12399.677      5163.605       4997.348         0.412          0.724       0.00890415   
    L20G012T34-4_G028T64-1_C9ES       6021.559         0.332        3577.221       8987.562       4466.872       3577.221         0.341          0.632       0.00735792   
    L20G012T34-4_G048T64-1_C9ES       14461.443        0.219        4111.887       16486.279      4622.913       4111.887         0.441          1.443       0.00953564   
    L20G012T34-4_G058T64-7_C9ES       15992.667        0.217        4723.568       18179.237      5038.179       4723.568         0.465          1.391       0.01004928   
    L20G012T34-4_G12T64-2_C9ES         9237.22         0.304        5501.917       12577.284      5493.526       5501.917         0.419          0.644       0.00905376   
    L20G012T34-4_G13T64-0_C9ES        11529.741        0.292        6278.777       15187.873      6263.925       6278.777         0.459          0.711       0.00990881   
    L20G012T34-4_G17T64-0_C9ES        15323.09         0.243        5511.953       18155.49       5827.984       5511.953         0.452          1.118       0.00976469   
    L20G012T34-4_G17T64-1_C9ES        12902.806        0.205        4705.267       14428.203       3720.48       4705.267         0.462          1.138       0.00998376   
          L20G012T34-7ES              2131.835         0.381        2205.874        4014.89        2471.2        2205.874         0.188          0.35        0.00406941   
   L20G012T34-7_G0124T64-1_C9ES       12405.319        0.25         4582.037       14886.383      4962.128       4582.037         0.38           1.083       0.00819976   
   L20G012T34-7_G0125T64-4_C9ES       14558.256        0.233        5083.821       16959.006      5151.823       5083.821         0.411          1.161       0.00888035   
   L20G012T34-7_G0128T64-1_C9ES       10039.456        0.302        5500.555       13591.251      5880.455       5500.555         0.424          0.701       0.00914807   
   L20G012T34-7_G0128T64-3_C9ES       9576.709         0.298        5245.251       12820.275      5442.225       5245.251         0.408          0.703       0.00881755   
   L20G012T34-7_G012T64-10_C9ES       6399.562         0.342        4986.351        9929.71       5161.034       4986.351         0.405          0.478       0.00873803   
   L20G012T34-7_G0138T64-2_C9ES       9142.215         0.285        4822.917       11830.031      4715.467       4822.917         0.418          0.738       0.00902548   
    L20G012T34-7_G014T64-0_C9ES       12874.796        0.284        6313.662       16618.989       6591.89       6313.662         0.449          0.794       0.00970167   
   L20G012T34-7_G0158T64-3_C9ES       10921.603        0.29         5626.481       14312.178      5845.819       5626.481         0.445          0.752       0.00960558   
   L20G012T34-7_G0158T64-5_C9ES       7059.346         0.285        3969.484       9134.798       3641.143       3969.484         0.391          0.692       0.00844925   
   L20G012T34-7_G0178T64-2_C9ES       11565.558        0.293        5951.243       15275.208      6330.461       5951.243         0.458          0.752       0.00989543   
   L20G012T34-7_G0178T64-3_C9ES       6084.817         0.289        3570.463        7953.38       3232.809       3570.463         0.378          0.661        0.0081613   
   L20G012T34-7_G018T64-10_C9ES       9375.879         0.294        4998.226        12416.1       5170.444       4998.226         0.412          0.725       0.00890415   
    L20G012T34-7_G018T64-3_C9ES       6641.437         0.342        5062.624       10305.008      5356.099       5062.624         0.38           0.489       0.00821523   
    L20G012T34-7_G023T34-1_C6ES       10104.623        0.252        4285.325       12171.265       4100.48       4285.325         0.353          0.942       0.00761644   
    L20G012T34-7_G025T34-1_C6ES       10780.935        0.272        4927.128       13531.186      5055.608       4927.128         0.366          0.86        0.00791124   
    L20G012T34-7_G025T34-4_C6ES       8918.655         0.234         3621.33       10406.42       3178.985        3621.33         0.339          0.998       0.00732542   
    L20G012T34-7_G027T34-0_C6ES       11027.147        0.276         5220.24       13966.032      5324.068        5220.24         0.373          0.828       0.00805864   
    L20G012T34-7_G027T34-2_C6ES       8137.145         0.234        3298.318       9494.542       2900.422       3298.318         0.332           1.0        0.00717927   
    L20G012T34-7_G028T64-0_C9ES       6012.495         0.333        3575.771       9007.493       4496.994       3575.771         0.341          0.631       0.00735792   
    L20G012T34-7_G028T64-1_C9ES       4797.483         0.311        3378.846        6670.19       3010.782       3378.846         0.354          0.542       0.00765033   
    L20G012T34-7_G058T64-6_C9ES       9840.032         0.284        5452.263       12701.668      5038.092       5452.263         0.41           0.703       0.00885141   
    L20G012T34-7_G068T64-3_C9ES       8756.172         0.289         4798.05       11445.072      4652.076        4798.05         0.391          0.708       0.00844668   
    L20G012T34-7_G123T64-0_C9ES       15794.878        0.207        5050.869       17708.614      4622.551       5050.869         0.411          1.295       0.00887849   
    L20G012T34-7_G123T64-2_C9ES       11301.863        0.235        4096.376       13208.961      4057.655       4096.376         0.348          1.117       0.00750603   
    L20G012T34-7_G12T64-2_C9ES        9201.064         0.304        5486.904       12528.054      5472.024       5486.904         0.419          0.643       0.00904074   
    L20G012T34-7_G17T64-1_C9ES        15331.698        0.243        5516.423       18165.69       5831.258       5516.423         0.452          1.118       0.00976469   
          L20G012T64-0ES              5120.851         0.106         540.455        5252.89        622.826        540.455         0.14           4.283       0.00302211   
    L20G012T64-0_G013T34-0_C9ES       9024.788         0.227        2627.504       10413.082      3057.917       2627.504         0.316           1.4        0.00682865   
    L20G012T64-0_G013T34-1_C9ES       9459.583         0.227        3024.001       10914.762      3205.241       3024.001         0.316          1.275       0.00682865   
   L20G012T64-0_G015T34-11_C9ES       7984.318         0.205        2131.727       8928.241       2302.251       2131.727         0.296          1.554       0.00638828   
   L20G012T64-0_G015T34-15_C9ES       10431.377        0.252        3514.621       12564.848      4233.077       3514.621         0.337          1.185       0.00727871   
    L20G012T64-0_G015T34-2_C9ES       10188.373        0.251        3201.374       12248.982      4104.799       3201.374         0.337          1.272       0.00727871   
    L20G012T64-0_G015T34-6_C9ES       8477.278         0.199        2458.947       9407.479       2337.189       2458.947         0.295          1.438       0.00637754   
    L20G012T64-0_G017T34-0_C9ES       10711.718        0.261        3507.256       13132.898      4638.277       3507.256         0.347          1.211       0.00750269   
    L20G012T64-0_G017T34-1_C9ES       7984.474         0.186         2181.99       8726.225       1993.953        2181.99         0.285          1.543       0.00615181   
    L20G012T64-0_G017T34-4_C9ES       7526.642         0.195        1896.481       8311.883       2013.437       1896.481         0.285          1.661       0.00616613   
