Name,E11,V12,G12,C11,C12,C44,RelDensity,AniRatio,mass,Thickness,ID,Type,Fp
L20G0124T64-0S,262.588,0.318,193.622,373.287,174.054,193.622,0.031,0.514,0.00066399,0.2,"[135, -1]","[0, 0, 0, 1, 0, 0]","[0, 0, 10, 5, 0, 10, 2.5, 5, 5, 0, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0124T64-1S,517.771,-0.021,74.308,518.219,-10.659,74.308,0.049,3.559,0.00105455,0.2,"[136, -1]","[0, 0, 0, 1, 1, 0]","[0, 0, 0, 5, 0, 10, 5, 5, 10, 2.5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0124T64-2S,595.875,0.261,377.048,730.561,258.02,377.048,0.051,0.627,0.00110516,0.2,"[137, -1]","[0, 1, 0, 1, 1, 1]","[10, 0, 10, 10, 0, 5, 5, 5, 2.5, 5, 5, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0124T64-3S,1001.95,0.183,298.926,1091.426,244.469,298.926,0.065,1.417,0.00140182,0.2,"[138, -1]","[0, 1, 1, 0, 0, 0]","[10, 0, 10, 5, 10, 10, 2.5, 5, 5, 5, 0, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0124T64-4S,516.446,-0.02,75.539,516.851,-10.134,75.539,0.049,3.488,0.00105455,0.2,"[139, -1]","[1, 0, 0, 1, 0, 1]","[10, 10, 10, 5, 0, 10, 5, 0, 5, 7.5, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0124T64-5S,262.465,0.317,193.586,371.899,172.609,193.586,0.031,0.515,0.00066399,0.2,"[140, -1]","[0, 1, 0, 1, 1, 1]","[10, 0, 10, 10, 0, 5, 5, 5, 7.5, 5, 5, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0124T64-6S,999.913,0.182,299.109,1088.03,242.08,299.109,0.065,0.707,0.00140182,0.2,"[141, -1]","[0, 0, 0, 0, 1, 0]","[0, 0, 10, 0, 5, 0, 5, 7.5, 5, 5, 5, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0124T64-7S,596.405,0.261,376.922,731.211,258.249,376.922,0.051,0.627,0.00110516,0.2,"[142, -1]","[0, 0, 0, 1, 0, 0]","[0, 0, 10, 5, 0, 10, 7.5, 5, 5, 0, 5, 5, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0125T64-0S,689.351,-0.024,126.762,690.127,-16.175,126.762,0.054,2.786,0.00117508,0.2,"[147, -1]","[1, 0, 0, 1, 0, 1]","[10, 10, 10, 5, 0, 10, 5, 0, 5, 6.667, 3.333, 3.333, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
L20G0125T64-1S,886.779,0.153,209.254,938.664,169.558,209.254,0.058,0.544,0.00124842,0.2,"[148, -1]","[0, 0, 0, 0, 1, 0]","[0, 0, 10, 0, 5, 0, 3.333, 6.667, 3.333, 5, 5, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
