Name,E11,V12,G12,C11,C12,C44,RelDensity,AniRatio,mass,Thickness1,Thickness2
L20G0124T64-0S,262.588,0.318,193.622,373.287,174.054,193.622,0.031,0.514,0.00066399,0.2,0.2
L20G0124T64-1S,517.771,-0.021,74.308,518.219,-10.659,74.308,0.049,3.559,0.00105455,0.2,0.2
L20G0124T64-2S,595.875,0.261,377.048,730.561,258.02,377.048,0.051,0.627,0.00110516,0.2,0.2
L20G0124T64-3S,1001.95,0.183,298.926,1091.426,244.469,298.926,0.065,1.417,0.00140182,0.2,0.2
L20G0124T64-4S,516.446,-0.02,75.539,516.851,-10.134,75.539,0.049,3.488,0.00105455,0.2,0.2
L20G0124T64-5S,262.465,0.317,193.586,371.899,172.609,193.586,0.031,0.515,0.00066399,0.2,0.2
L20G0124T64-6S,999.913,0.182,299.109,1088.03,242.08,299.109,0.065,0.707,0.00140182,0.2,0.2
L20G0124T64-7S,596.405,0.261,376.922,731.211,258.249,376.922,0.051,0.627,0.00110516,0.2,0.2
L20G0125T64-0S,689.351,-0.024,126.762,690.127,-16.175,126.762,0.054,2.786,0.00117508,0.2,0.2
L20G0125T64-1S,886.779,0.153,209.254,938.664,169.558,209.254,0.058,0.544,0.00124842,0.2,0.2
L20G0125T64-2S,746.607,0.277,435.352,947.774,363.117,435.352,0.059,0.671,0.00126764,0.2,0.2
L20G0125T64-3S,888.256,0.155,210.032,941.811,172.758,210.032,0.058,1.831,0.00124846,0.2,0.2
L20G0125T64-4S,688.97,-0.023,127.858,689.683,-15.506,127.858,0.054,2.758,0.00117509,0.2,0.2
L20G0125T64-5S,743.532,0.275,436.582,939.539,356.377,436.582,0.059,0.668,0.00126764,0.2,0.2
L20G0128T64-0S,407.668,0.321,286.403,585.316,276.711,286.403,0.048,0.539,0.0010275,0.2,0.2
L20G0128T64-1S,791.511,0.252,345.673,953.394,321.197,345.673,0.054,0.914,0.00117502,0.2,0.2
L20G0128T64-2S,406.587,0.319,285.831,579.892,271.638,285.831,0.048,0.539,0.0010275,0.2,0.2
L20G0128T64-3S,788.737,0.249,343.262,944.726,313.231,343.262,0.054,0.92,0.00117503,0.2,0.2
L20G012T34-4S,285.035,0.395,314.616,588.654,384.328,314.616,0.031,0.325,0.00067763,0.2,0.2
L20G012T34-4_G0124T64-4_C9S,1273.18,0.286,617.127,1651.594,661.563,617.127,0.078,0.802,0.00168034,0.2,0.2
L20G012T34-4_G0125T64-0_C9S,1441.418,0.27,640.359,1801.156,666.181,640.359,0.083,0.886,0.00180066,0.2,0.2
L20G012T34-4_G0128T64-1_C9S,1173.807,0.316,734.848,1657.865,765.914,734.848,0.083,0.607,0.00180034,0.2,0.2
L20G012T34-4_G0128T64-3_C9S,1205.129,0.326,773.145,1760.235,851.39,773.145,0.084,0.588,0.00181279,0.2,0.2
L20G012T34-4_G012T34-7_C6S,679.404,0.374,738.59,1228.33,733.859,738.59,0.062,0.335,0.00132971,0.2,0.2
L20G012T34-4_G012T64-10_C9S,916.231,0.365,869.913,1578.637,907.406,869.913,0.093,0.386,0.00200039,0.2,0.2
L20G012T34-4_G012T64-5_C9S,791.292,0.359,762.442,1323.507,741.247,762.442,0.092,0.382,0.00198312,0.2,0.2
L20G012T34-4_G012T64-9_C9S,3441.133,0.273,1491.754,4328.641,1625.473,1491.754,0.125,0.906,0.00270792,0.2,0.2
L20G012T34-4_G0138T64-2_C9S,550.321,0.368,558.369,963.037,560.756,558.369,0.078,0.36,0.00168741,0.2,0.2
L20G012T34-4_G013T34-0_C6S,845.23,0.345,671.811,1327.799,699.375,671.811,0.062,0.468,0.0013455,0.2,0.2
L20G012T34-4_G014T64-4_C9S,1161.797,0.343,927.862,1810.047,944.971,927.862,0.094,0.466,0.00202417,0.2,0.2
L20G012T34-4_G0158T64-3_C9S,674.088,0.375,695.465,1225.615,735.369,695.465,0.086,0.352,0.00184807,0.2,0.2
L20G012T34-4_G0158T64-5_C9S,399.135,0.375,423.901,725.7,435.42,423.901,0.071,0.342,0.00152677,0.2,0.2
