         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
          L20G0124T64-0S              1303.824         0.324         913.595       1891.189        906.428        913.595         0.123          0.539       0.00265211   
          L20G0124T64-1S              3815.111         0.032         569.153        3823.2         126.387        569.153         0.198          3.248       0.00427789   
          L20G0124T64-2S              3033.023         0.268        1810.927       3773.545       1381.571       1810.927         0.203          0.66        0.00438597   
          L20G0124T64-3S              6292.636         0.22         1868.728       7184.216       2026.317       1868.728         0.252          1.38        0.00543266   
          L20G0124T64-4S              3814.794         0.032         568.73        3822.882        126.376        568.73          0.198          3.25        0.00427789   
          L20G0124T64-5S              1304.008         0.324          914.2        1891.456        906.556         914.2          0.123          0.539       0.00265211   
          L20G0124T64-6S              6293.996         0.22          1870.63       7185.768       2026.755        1870.63         0.252          0.725       0.00543422   
          L20G0124T64-7S              3041.918         0.268        1812.923       3784.612       1385.623       1812.923         0.203          0.662       0.00438597   
          L20G0125T64-0S              5337.782         0.087        1145.919       5427.777        517.214       1145.919         0.222          2.143       0.00480534   
          L20G0125T64-1S              5498.951         0.203        1451.203       6133.185       1562.154       1451.203         0.227          0.635       0.00490241   
          L20G0125T64-2S              5678.745         0.256        2619.439        6893.12       2371.826       2619.439         0.244          0.863       0.00528107   
          L20G0125T64-3S              5497.488         0.203        1452.988       6131.554       1561.738       1452.988         0.227          1.573       0.00490264   
          L20G0125T64-4S              5328.984         0.086        1142.484       5416.646        509.663       1142.484         0.222          2.148       0.00480536   
          L20G0125T64-5S              5679.824         0.256        2621.338        6894.43       2372.277       2621.338         0.244          0.863        0.0052811   
          L20G0128T64-0S              3192.865         0.286        1527.944       4141.847       1659.059       1527.944         0.192          0.812       0.00415115   
          L20G0128T64-1S              4555.909         0.277        2013.152       5783.458       2215.792       2013.152         0.223          0.886        0.0048074   
          L20G0128T64-2S              3195.629         0.286        1528.292       4145.432       1660.495       1528.292         0.192          0.813       0.00415115   
          L20G0128T64-3S              4547.763         0.277        2011.928       5773.117        2211.83       2011.928         0.223          0.885        0.0048074   
           L20G012T34-4S              1398.955         0.387        1493.744       2735.768       1727.149       1493.744         0.134          0.338       0.00290023   
