         Name                 E11            V12            G12            C11            C12            C44        RelDensity      AniRatio         mass      
          L20G0124T64-0S              1474.469         0.324         1021.18       2138.709       1025.062        1021.18         0.134          0.545       0.00289791   
          L20G0124T64-1S              4424.711         0.038         652.856       4438.034        175.307        652.856         0.217          3.265       0.00468454   
          L20G0124T64-2S              3435.986         0.269        2031.321       4284.155       1576.522       2031.321         0.222          0.666       0.00478692   
          L20G0124T64-3S              7206.837         0.222        2133.018       8252.363       2354.787       2133.018         0.273          1.382       0.00589921   
          L20G0124T64-4S              4426.594         0.038         652.875       4439.923        175.382        652.875         0.217          3.266       0.00468454   
          L20G0124T64-5S              1475.629         0.324        1021.327       2140.392       1025.868       1021.327         0.134          0.546       0.00289791   
          L20G0124T64-6S              7211.989         0.222        2133.655       8258.262       2356.471       2133.655         0.273          0.723       0.00590084   
          L20G0124T64-7S              3445.899         0.269        2029.541       4296.515        1581.07       2029.541         0.222          0.669       0.00478692   
          L20G0125T64-0S              6197.068         0.094        1322.156        6320.35        655.754       1322.156         0.244          2.142        0.0052666   
          L20G0125T64-1S              6295.483         0.206        1669.045       7048.958       1828.823       1669.045         0.247          0.639       0.00533995   
          L20G0125T64-2S              6609.598         0.255         2985.02        8007.4        2740.788        2985.02         0.269          0.882       0.00580404   
          L20G0125T64-3S              6292.686         0.206         1668.44       7045.826        1828.01        1668.44         0.247          1.564       0.00533848   
          L20G0125T64-4S              6192.256         0.094        1321.522       6315.442        655.245       1321.522         0.244          2.142        0.0052666   
          L20G0125T64-5S              6611.765         0.255        2983.456       8010.025       2741.686       2983.456         0.269          0.883       0.00580234   
          L20G0128T64-0S              3685.369         0.284        1719.735       4757.132       1886.907       1719.735         0.21           0.834       0.00453888   
          L20G0128T64-1S              5147.009         0.276        2268.974       6518.757       2485.051       2268.974         0.244          0.889       0.00526973   
          L20G0128T64-2S              3682.865         0.284        1720.959        4753.9        1885.625       1720.959         0.21           0.833       0.00453888   
          L20G0128T64-3S               5144.88         0.276        2270.196       6516.061       2484.023       2270.196         0.244          0.888       0.00526973   
           L20G012T34-4S              1575.081         0.383        1673.026       3002.963       1864.076       1673.026         0.148          0.34        0.00319927   
    L20G012T34-4_G0124T64-4_C9S       9056.678         0.254        3468.129       10950.782       3728.55       3468.129         0.315          1.041       0.00679765   
    L20G012T34-4_G0125T64-0_C9S       10584.746        0.235        3819.762       12370.836      3800.191       3819.762         0.34           1.122       0.00735364   
    L20G012T34-4_G0128T64-1_C9S       7103.929         0.304        4020.504       9672.621       4224.823       4020.504         0.339          0.678       0.00732434   
    L20G012T34-4_G0128T64-3_C9S       7385.468         0.31          4205.41       10236.989      4599.227        4205.41         0.35           0.67        0.00755154   
    L20G012T34-4_G012T34-7_C6S        3643.892         0.363        3494.785       6215.249       3541.814       3494.785         0.268          0.382       0.00579635   
    L20G012T34-4_G012T64-10_C9S       6126.594         0.334        4419.561       9212.965       4620.316       4419.561         0.355          0.52         0.0076785   
    L20G012T34-4_G012T64-5_C9S        4722.956         0.351        3907.572       7613.546        4117.65       3907.572         0.344          0.447       0.00742166   
    L20G012T34-4_G012T64-9_C9S        18516.259        0.272        7843.865       23239.815      8683.008       7843.865          0.5           0.928       0.01080148   
    L20G012T34-4_G0138T64-2_C9S       5987.582         0.295        3225.506       7950.363       3326.748       3225.506         0.339          0.717       0.00731471   
    L20G012T34-4_G013T34-0_C6S        5176.566         0.325        3572.401       7534.624       3627.782       3572.401         0.285          0.547       0.00614981   
    L20G012T34-4_G014T64-4_C9S        9178.275         0.296        4865.826       12219.926      5137.923       4865.826         0.374          0.728       0.00806967   
    L20G012T34-4_G0158T64-3_C9S       7298.562         0.304        3859.349       9937.631       4340.575       3859.349         0.363          0.725       0.00784577   
    L20G012T34-4_G0158T64-5_C9S       4315.063         0.304        2579.781       5875.336       2566.239       2579.781         0.314          0.641        0.0067853   
    L20G012T34-4_G015T34-11_C6S       3897.768         0.345        3111.026       6123.128       3225.159       3111.026         0.273          0.466       0.00589135   
    L20G012T34-4_G015T34-2_C6S         6865.08         0.306        4023.608       9402.215       4145.645       4023.608         0.297          0.653       0.00640778   
    L20G012T34-4_G0178T64-2_C9S        7656.16         0.311        4133.799       10644.756      4804.818       4133.799         0.376          0.706        0.0081112   
    L20G012T34-4_G0178T64-3_C9S       3582.967         0.316        2306.925       5060.521       2337.901       2306.925         0.302          0.59        0.00652067   
    L20G012T34-4_G017T34-0_C6S        7721.667         0.298        4220.544       10336.943      4388.047       4220.544         0.303          0.705       0.00653629   
    L20G012T34-4_G017T34-4_C6S        3433.422         0.352        2891.444       5559.475       3019.962       2891.444         0.267          0.439       0.00576205   
    L20G012T34-4_G018T64-1_C9S        4937.138         0.349        3909.588        7889.28        4229.43       3909.588         0.311          0.468       0.00672837   
    L20G012T34-4_G018T64-3_C9S        3662.927         0.308        3035.567       5046.559       2246.156       3035.567         0.323          0.461       0.00698174   
    L20G012T34-4_G018T64-9_C9S        7262.023         0.299        3896.909       9748.559       4158.087       3896.909         0.35           0.717       0.00756063   
    L20G012T34-4_G028T64-1_C9S         3969.51         0.351        2694.327       6398.969       3460.767       2694.327         0.277          0.545        0.0059832   
    L20G012T34-4_G048T64-1_C9S        10765.663        0.201        2840.833       11976.871      3012.955       2840.833         0.362          1.578       0.00780861   
    L20G012T34-4_G058T64-7_C9S        11684.286        0.189        3219.779       12812.999      2986.013       3219.779         0.38           1.526       0.00820662   
     L20G012T34-4_G12T64-0_C9S        11496.458        0.237        4985.938       13481.343      4187.521       4985.938         0.412          0.932       0.00889024   
     L20G012T34-4_G12T64-1_C9S        12617.344        0.249        5023.155       15112.688      5010.732       5023.155         0.414          1.006        0.008947    
     L20G012T34-4_G12T64-2_C9S         6164.69         0.313        3926.702       8624.455       3929.337       3926.702         0.334          0.598       0.00720908   
     L20G012T34-4_G13T64-0_C9S        7396.259         0.302        4514.366       10012.934      4332.244       4514.366         0.368          0.629       0.00794453   
     L20G012T34-4_G17T64-0_C9S        10917.998        0.241        3827.819        12890.9       4093.158       3827.819         0.364          1.149        0.0078731   
     L20G012T34-4_G17T64-1_C9S        9035.256         0.201        3196.163       10051.782      2528.671       3196.163         0.371          1.177       0.00800928   
           L20G012T34-7S              1572.319         0.385        1673.019       3035.555       1900.307       1673.019         0.148          0.339       0.00319927   
    L20G012T34-7_G0124T64-1_C9S       9057.741         0.254        3468.451       10952.067      3728.988       3468.451         0.315          1.041       0.00679765   
    L20G012T34-7_G0125T64-4_C9S       10574.752        0.235        3819.279       12359.156      3796.603       3819.279         0.34           1.121       0.00735364   
    L20G012T34-7_G0128T64-1_C9S       7380.589         0.31         4204.643       10230.226      4596.188       4204.643         0.35           0.67        0.00755148   
    L20G012T34-7_G0128T64-3_C9S       7104.117         0.303        4020.589        9645.0        4192.877       4020.589         0.339          0.678       0.00732434   
    L20G012T34-7_G012T64-10_C9S       4716.646         0.351        3907.132       7603.374       4112.148       3907.132         0.344          0.447        0.0074216   
    L20G012T34-7_G012T64-9_C9S        16033.993        0.273        7040.004       20169.347      7573.909       7040.004         0.486          0.895       0.01049938   
    L20G012T34-7_G0138T64-2_C9S       5620.176         0.306        3582.788        7697.23        3393.88       3582.788         0.34           0.601       0.00733407   
    L20G012T34-7_G014T64-0_C9S        9166.066         0.295         4866.17       12170.782      5092.738        4866.17         0.374          0.727       0.00806966   
    L20G012T34-7_G0158T64-3_C9S       6808.801         0.313        4259.879       9525.572       4339.889       4259.879         0.364          0.609       0.00786513   
    L20G012T34-7_G0158T64-5_C9S       4168.889         0.307        2864.539       5726.519       2536.856       2864.539         0.315          0.557       0.00680467   
    L20G012T34-7_G0178T64-2_C9S       7206.253         0.316        4531.708       10177.987      4702.111       4531.708         0.376          0.604       0.00813057   
    L20G012T34-7_G0178T64-3_C9S        3546.38         0.313        2557.234       4961.416       2260.442       2557.234         0.303          0.528       0.00654003   
    L20G012T34-7_G018T64-10_C9S       7261.757         0.299        3895.686       9748.202       4157.935       3895.686         0.35           0.717       0.00756063   
    L20G012T34-7_G018T64-3_C9S        4935.881         0.349        3908.301       7887.271       4228.353       3908.301         0.311          0.468       0.00672837   
    L20G012T34-7_G023T34-1_C6S        7653.875         0.249        3234.458       9167.589       3039.587       3234.458         0.282          0.947       0.00608599   
    L20G012T34-7_G025T34-1_C6S        8182.567         0.271        3765.196       10247.22       3809.323       3765.196         0.294          0.855       0.00634492   
    L20G012T34-7_G025T34-4_C6S        6712.938         0.231        2704.581       7794.686       2341.447       2704.581         0.27           1.008       0.00582869   
    L20G012T34-7_G027T34-0_C6S         8376.44         0.275         4010.49       10584.608      4014.851        4010.49          0.3           0.819       0.00647438   
    L20G012T34-7_G027T34-2_C6S        6079.622         0.233        2444.535       7082.191       2151.435       2444.535         0.264          1.009       0.00569976   
    L20G012T34-7_G028T64-0_C9S        3977.812         0.351        2693.686       6412.352       3468.005       2693.686         0.277          0.547        0.0059832   
    L20G012T34-7_G028T64-1_C9S        2862.529         0.339        2525.457       4388.488       2250.677       2525.457         0.286          0.423       0.00617048   
    L20G012T34-7_G058T64-6_C9S        6678.946         0.295        4111.266       8868.362       3710.875       4111.266         0.332          0.627       0.00716911   
    L20G012T34-7_G068T64-3_C9S        5952.577         0.299        3606.259       7990.755       3408.325       3606.259         0.317          0.635       0.00685761   
    L20G012T34-7_G123T64-0_C9S        11919.139        0.199        3772.342       13227.011      3286.111       3772.342         0.331          1.318       0.00714794   
    L20G012T34-7_G123T64-2_C9S        8138.046         0.237        3046.264       9543.095       2964.238       3046.264         0.277          1.08        0.00597474   
     L20G012T34-7_G12T64-0_C9S        12608.694        0.249         5025.72       15102.328      5007.296        5025.72         0.414          1.004       0.00894969   
     L20G012T34-7_G12T64-1_C9S        11498.643        0.237        4987.263       13483.905      4188.317       4987.263         0.412          0.932       0.00889024   
     L20G012T34-7_G12T64-2_C9S        6166.538         0.314        3928.009       8654.206       3961.255       3928.009         0.334          0.597       0.00720369   
     L20G012T34-7_G17T64-1_C9S        10931.488        0.242        3833.716       12929.365      4127.845       3833.716         0.364          1.148        0.0078731   
           L20G012T64-0S              3934.958         0.101         398.111       4026.332        452.347        398.111         0.109          4.489        0.002349    
    L20G012T64-0_G013T34-0_C9S        6740.287         0.228        1918.392        7789.3        2300.467       1918.392         0.25           1.431       0.00539444   
